n:1 mse_avg:4.54 mse_y:5.75 mse_u:2.38 mse_v:1.88 psnr_avg:41.56 psnr_y:40.54 psnr_u:44.37 psnr_v:45.40 
n:2 mse_avg:4.75 mse_y:6.04 mse_u:2.43 mse_v:1.91 psnr_avg:41.36 psnr_y:40.32 psnr_u:44.28 psnr_v:45.32 
n:3 mse_avg:4.80 mse_y:6.12 mse_u:2.43 mse_v:1.89 psnr_avg:41.32 psnr_y:40.26 psnr_u:44.27 psnr_v:45.37 
n:4 mse_avg:4.86 mse_y:6.20 mse_u:2.43 mse_v:1.89 psnr_avg:41.27 psnr_y:40.21 psnr_u:44.27 psnr_v:45.35 
n:5 mse_avg:4.94 mse_y:6.33 mse_u:2.43 mse_v:1.89 psnr_avg:41.20 psnr_y:40.12 psnr_u:44.28 psnr_v:45.36 
n:6 mse_avg:5.02 mse_y:6.44 mse_u:2.44 mse_v:1.91 psnr_avg:41.13 psnr_y:40.04 psnr_u:44.25 psnr_v:45.32 
n:7 mse_avg:5.16 mse_y:6.66 mse_u:2.43 mse_v:1.91 psnr_avg:41.00 psnr_y:39.90 psnr_u:44.28 psnr_v:45.32 
n:8 mse_avg:5.22 mse_y:6.75 mse_u:2.42 mse_v:1.90 psnr_avg:40.96 psnr_y:39.84 psnr_u:44.30 psnr_v:45.35 
n:9 mse_avg:5.13 mse_y:6.62 mse_u:2.43 mse_v:1.91 psnr_avg:41.03 psnr_y:39.92 psnr_u:44.28 psnr_v:45.33 
n:10 mse_avg:5.34 mse_y:6.92 mse_u:2.42 mse_v:1.91 psnr_avg:40.86 psnr_y:39.73 psnr_u:44.30 psnr_v:45.32 
n:11 mse_avg:5.60 mse_y:7.31 mse_u:2.40 mse_v:1.95 psnr_avg:40.65 psnr_y:39.49 psnr_u:44.33 psnr_v:45.23 
n:12 mse_avg:5.74 mse_y:7.49 mse_u:2.41 mse_v:2.09 psnr_avg:40.54 psnr_y:39.39 psnr_u:44.32 psnr_v:44.93 
n:13 mse_avg:6.06 mse_y:7.95 mse_u:2.42 mse_v:2.15 psnr_avg:40.30 psnr_y:39.13 psnr_u:44.30 psnr_v:44.80 
n:14 mse_avg:5.21 mse_y:6.74 mse_u:2.32 mse_v:1.96 psnr_avg:40.96 psnr_y:39.84 psnr_u:44.47 psnr_v:45.20 
n:15 mse_avg:5.18 mse_y:6.71 mse_u:2.34 mse_v:1.92 psnr_avg:40.99 psnr_y:39.86 psnr_u:44.43 psnr_v:45.30 
n:16 mse_avg:4.74 mse_y:6.04 mse_u:2.33 mse_v:1.93 psnr_avg:41.38 psnr_y:40.32 psnr_u:44.46 psnr_v:45.29 
n:17 mse_avg:4.22 mse_y:5.29 mse_u:2.27 mse_v:1.85 psnr_avg:41.88 psnr_y:40.89 psnr_u:44.57 psnr_v:45.46 
n:18 mse_avg:3.62 mse_y:4.63 mse_u:1.77 mse_v:1.43 psnr_avg:42.54 psnr_y:41.47 psnr_u:45.66 psnr_v:46.59 
n:19 mse_avg:3.12 mse_y:3.95 mse_u:1.60 mse_v:1.32 psnr_avg:43.19 psnr_y:42.17 psnr_u:46.08 psnr_v:46.93 
n:20 mse_avg:2.72 mse_y:3.40 mse_u:1.46 mse_v:1.28 psnr_avg:43.78 psnr_y:42.82 psnr_u:46.48 psnr_v:47.06 
n:21 mse_avg:2.03 mse_y:2.42 mse_u:1.32 mse_v:1.19 psnr_avg:45.05 psnr_y:44.30 psnr_u:46.91 psnr_v:47.37 
n:22 mse_avg:1.94 mse_y:2.38 mse_u:1.13 mse_v:1.00 psnr_avg:45.25 psnr_y:44.36 psnr_u:47.60 psnr_v:48.14 
