n:1 mse_avg:2.94 mse_y:3.60 mse_u:1.85 mse_v:1.40 psnr_avg:43.44 psnr_y:42.57 psnr_u:45.45 psnr_v:46.66 
n:2 mse_avg:3.21 mse_y:3.99 mse_u:1.90 mse_v:1.43 psnr_avg:43.06 psnr_y:42.12 psnr_u:45.35 psnr_v:46.56 
n:3 mse_avg:3.26 mse_y:4.06 mse_u:1.89 mse_v:1.44 psnr_avg:42.99 psnr_y:42.04 psnr_u:45.36 psnr_v:46.55 
n:4 mse_avg:3.33 mse_y:4.16 mse_u:1.90 mse_v:1.43 psnr_avg:42.91 psnr_y:41.94 psnr_u:45.35 psnr_v:46.58 
n:5 mse_avg:3.42 mse_y:4.30 mse_u:1.90 mse_v:1.44 psnr_avg:42.79 psnr_y:41.80 psnr_u:45.35 psnr_v:46.54 
n:6 mse_avg:3.41 mse_y:4.27 mse_u:1.94 mse_v:1.44 psnr_avg:42.80 psnr_y:41.82 psnr_u:45.25 psnr_v:46.55 
n:7 mse_avg:3.47 mse_y:4.36 mse_u:1.93 mse_v:1.42 psnr_avg:42.73 psnr_y:41.74 psnr_u:45.27 psnr_v:46.60 
n:8 mse_avg:3.47 mse_y:4.37 mse_u:1.91 mse_v:1.42 psnr_avg:42.73 psnr_y:41.73 psnr_u:45.33 psnr_v:46.61 
n:9 mse_avg:3.57 mse_y:4.51 mse_u:1.91 mse_v:1.44 psnr_avg:42.61 psnr_y:41.59 psnr_u:45.33 psnr_v:46.54 
n:10 mse_avg:3.52 mse_y:4.44 mse_u:1.91 mse_v:1.45 psnr_avg:42.66 psnr_y:41.66 psnr_u:45.32 psnr_v:46.52 
n:11 mse_avg:3.52 mse_y:4.43 mse_u:1.91 mse_v:1.49 psnr_avg:42.66 psnr_y:41.67 psnr_u:45.32 psnr_v:46.41 
n:12 mse_avg:3.53 mse_y:4.42 mse_u:1.93 mse_v:1.56 psnr_avg:42.66 psnr_y:41.68 psnr_u:45.28 psnr_v:46.20 
n:13 mse_avg:3.74 mse_y:4.74 mse_u:1.94 mse_v:1.51 psnr_avg:42.40 psnr_y:41.37 psnr_u:45.24 psnr_v:46.33 
n:14 mse_avg:3.61 mse_y:4.54 mse_u:1.94 mse_v:1.52 psnr_avg:42.56 psnr_y:41.56 psnr_u:45.25 psnr_v:46.30 
n:15 mse_avg:3.65 mse_y:4.60 mse_u:1.97 mse_v:1.55 psnr_avg:42.50 psnr_y:41.50 psnr_u:45.20 psnr_v:46.24 
n:16 mse_avg:3.76 mse_y:4.74 mse_u:2.02 mse_v:1.57 psnr_avg:42.38 psnr_y:41.37 psnr_u:45.08 psnr_v:46.19 
n:17 mse_avg:4.00 mse_y:5.12 mse_u:2.01 mse_v:1.52 psnr_avg:42.11 psnr_y:41.03 psnr_u:45.10 psnr_v:46.31 
n:18 mse_avg:4.00 mse_y:5.06 mse_u:2.13 mse_v:1.63 psnr_avg:42.11 psnr_y:41.09 psnr_u:44.84 psnr_v:46.02 
n:19 mse_avg:4.06 mse_y:5.13 mse_u:2.19 mse_v:1.64 psnr_avg:42.05 psnr_y:41.03 psnr_u:44.73 psnr_v:45.98 
n:20 mse_avg:4.13 mse_y:5.25 mse_u:2.15 mse_v:1.68 psnr_avg:41.97 psnr_y:40.93 psnr_u:44.81 psnr_v:45.89 
n:21 mse_avg:4.16 mse_y:5.30 mse_u:2.11 mse_v:1.63 psnr_avg:41.94 psnr_y:40.89 psnr_u:44.89 psnr_v:46.01 
n:22 mse_avg:4.20 mse_y:5.33 mse_u:2.16 mse_v:1.68 psnr_avg:41.90 psnr_y:40.86 psnr_u:44.79 psnr_v:45.88 
n:23 mse_avg:4.26 mse_y:5.41 mse_u:2.24 mse_v:1.70 psnr_avg:41.84 psnr_y:40.80 psnr_u:44.63 psnr_v:45.82 
n:24 mse_avg:4.33 mse_y:5.51 mse_u:2.24 mse_v:1.72 psnr_avg:41.77 psnr_y:40.72 psnr_u:44.63 psnr_v:45.79 
n:25 mse_avg:4.39 mse_y:5.59 mse_u:2.28 mse_v:1.70 psnr_avg:41.71 psnr_y:40.66 psnr_u:44.56 psnr_v:45.82 
n:26 mse_avg:4.26 mse_y:5.40 mse_u:2.25 mse_v:1.75 psnr_avg:41.83 psnr_y:40.81 psnr_u:44.61 psnr_v:45.71 
n:27 mse_avg:4.22 mse_y:5.33 mse_u:2.24 mse_v:1.72 psnr_avg:41.88 psnr_y:40.86 psnr_u:44.63 psnr_v:45.77 
n:28 mse_avg:4.20 mse_y:5.30 mse_u:2.25 mse_v:1.73 psnr_avg:41.90 psnr_y:40.89 psnr_u:44.61 psnr_v:45.75 
n:29 mse_avg:4.16 mse_y:5.25 mse_u:2.25 mse_v:1.72 psnr_avg:41.94 psnr_y:40.93 psnr_u:44.62 psnr_v:45.77 
n:30 mse_avg:4.25 mse_y:5.35 mse_u:2.26 mse_v:1.83 psnr_avg:41.85 psnr_y:40.85 psnr_u:44.60 psnr_v:45.50 
n:31 mse_avg:4.29 mse_y:5.39 mse_u:2.32 mse_v:1.82 psnr_avg:41.81 psnr_y:40.81 psnr_u:44.47 psnr_v:45.54 
n:32 mse_avg:4.37 mse_y:5.51 mse_u:2.32 mse_v:1.84 psnr_avg:41.73 psnr_y:40.72 psnr_u:44.48 psnr_v:45.48 
n:33 mse_avg:4.26 mse_y:5.39 mse_u:2.27 mse_v:1.75 psnr_avg:41.83 psnr_y:40.81 psnr_u:44.58 psnr_v:45.71 
n:34 mse_avg:4.30 mse_y:5.43 mse_u:2.26 mse_v:1.83 psnr_avg:41.79 psnr_y:40.78 psnr_u:44.60 psnr_v:45.51 
n:35 mse_avg:4.31 mse_y:5.45 mse_u:2.25 mse_v:1.83 psnr_avg:41.78 psnr_y:40.77 psnr_u:44.60 psnr_v:45.51 
n:36 mse_avg:4.42 mse_y:5.59 mse_u:2.27 mse_v:1.85 psnr_avg:41.68 psnr_y:40.65 psnr_u:44.58 psnr_v:45.45 
n:37 mse_avg:4.31 mse_y:5.47 mse_u:2.21 mse_v:1.77 psnr_avg:41.79 psnr_y:40.75 psnr_u:44.68 psnr_v:45.65 
n:38 mse_avg:4.43 mse_y:5.62 mse_u:2.28 mse_v:1.85 psnr_avg:41.66 psnr_y:40.64 psnr_u:44.55 psnr_v:45.46 
n:39 mse_avg:4.44 mse_y:5.64 mse_u:2.29 mse_v:1.81 psnr_avg:41.65 psnr_y:40.62 psnr_u:44.54 psnr_v:45.54 
n:40 mse_avg:4.46 mse_y:5.67 mse_u:2.29 mse_v:1.80 psnr_avg:41.64 psnr_y:40.59 psnr_u:44.54 psnr_v:45.58 
n:41 mse_avg:4.40 mse_y:5.62 mse_u:2.20 mse_v:1.74 psnr_avg:41.69 psnr_y:40.63 psnr_u:44.70 psnr_v:45.74 
n:42 mse_avg:4.36 mse_y:5.54 mse_u:2.22 mse_v:1.75 psnr_avg:41.74 psnr_y:40.69 psnr_u:44.66 psnr_v:45.70 
n:43 mse_avg:4.35 mse_y:5.52 mse_u:2.27 mse_v:1.74 psnr_avg:41.75 psnr_y:40.71 psnr_u:44.58 psnr_v:45.72 
n:44 mse_avg:4.40 mse_y:5.58 mse_u:2.28 mse_v:1.78 psnr_avg:41.70 psnr_y:40.66 psnr_u:44.55 psnr_v:45.64 
n:45 mse_avg:4.45 mse_y:5.67 mse_u:2.27 mse_v:1.75 psnr_avg:41.65 psnr_y:40.60 psnr_u:44.56 psnr_v:45.70 
n:46 mse_avg:4.40 mse_y:5.58 mse_u:2.27 mse_v:1.80 psnr_avg:41.70 psnr_y:40.67 psnr_u:44.57 psnr_v:45.58 
n:47 mse_avg:4.36 mse_y:5.54 mse_u:2.27 mse_v:1.77 psnr_avg:41.73 psnr_y:40.70 psnr_u:44.58 psnr_v:45.66 
n:48 mse_avg:4.36 mse_y:5.52 mse_u:2.28 mse_v:1.77 psnr_avg:41.74 psnr_y:40.71 psnr_u:44.56 psnr_v:45.65 
n:49 mse_avg:4.42 mse_y:5.63 mse_u:2.25 mse_v:1.74 psnr_avg:41.68 psnr_y:40.62 psnr_u:44.61 psnr_v:45.72 
n:50 mse_avg:4.44 mse_y:5.67 mse_u:2.21 mse_v:1.76 psnr_avg:41.66 psnr_y:40.60 psnr_u:44.69 psnr_v:45.69 
n:51 mse_avg:4.48 mse_y:5.72 mse_u:2.23 mse_v:1.77 psnr_avg:41.62 psnr_y:40.56 psnr_u:44.65 psnr_v:45.66 
n:52 mse_avg:4.44 mse_y:5.66 mse_u:2.24 mse_v:1.77 psnr_avg:41.66 psnr_y:40.60 psnr_u:44.63 psnr_v:45.66 
n:53 mse_avg:4.42 mse_y:5.63 mse_u:2.25 mse_v:1.75 psnr_avg:41.68 psnr_y:40.63 psnr_u:44.61 psnr_v:45.71 
n:54 mse_avg:4.41 mse_y:5.60 mse_u:2.25 mse_v:1.81 psnr_avg:41.68 psnr_y:40.65 psnr_u:44.60 psnr_v:45.54 
n:55 mse_avg:4.42 mse_y:5.62 mse_u:2.27 mse_v:1.78 psnr_avg:41.68 psnr_y:40.63 psnr_u:44.58 psnr_v:45.62 
n:56 mse_avg:4.39 mse_y:5.57 mse_u:2.26 mse_v:1.81 psnr_avg:41.70 psnr_y:40.67 psnr_u:44.60 psnr_v:45.55 
n:57 mse_avg:4.40 mse_y:5.60 mse_u:2.26 mse_v:1.76 psnr_avg:41.69 psnr_y:40.65 psnr_u:44.59 psnr_v:45.68 
