n:1 mse_avg:6.07 mse_y:8.48 mse_u:1.46 mse_v:1.04 psnr_avg:40.30 psnr_y:38.85 psnr_u:46.49 psnr_v:47.97 
n:2 mse_avg:11.95 mse_y:17.28 mse_u:1.51 mse_v:1.07 psnr_avg:37.36 psnr_y:35.76 psnr_u:46.33 psnr_v:47.85 
n:3 mse_avg:12.52 mse_y:18.12 mse_u:1.53 mse_v:1.10 psnr_avg:37.15 psnr_y:35.55 psnr_u:46.30 psnr_v:47.72 
n:4 mse_avg:16.43 mse_y:23.96 mse_u:1.57 mse_v:1.15 psnr_avg:35.98 psnr_y:34.34 psnr_u:46.18 psnr_v:47.51 
n:5 mse_avg:14.61 mse_y:21.24 mse_u:1.53 mse_v:1.15 psnr_avg:36.48 psnr_y:34.86 psnr_u:46.27 psnr_v:47.51 
n:6 mse_avg:15.42 mse_y:22.44 mse_u:1.55 mse_v:1.18 psnr_avg:36.25 psnr_y:34.62 psnr_u:46.23 psnr_v:47.40 
n:7 mse_avg:11.28 mse_y:16.23 mse_u:1.57 mse_v:1.18 psnr_avg:37.61 psnr_y:36.03 psnr_u:46.18 psnr_v:47.41 
n:8 mse_avg:15.54 mse_y:22.58 mse_u:1.63 mse_v:1.26 psnr_avg:36.22 psnr_y:34.59 psnr_u:46.01 psnr_v:47.13 
n:9 mse_avg:15.00 mse_y:21.78 mse_u:1.64 mse_v:1.27 psnr_avg:36.37 psnr_y:34.75 psnr_u:45.99 psnr_v:47.10 
n:10 mse_avg:15.26 mse_y:22.15 mse_u:1.66 mse_v:1.31 psnr_avg:36.30 psnr_y:34.68 psnr_u:45.93 psnr_v:46.97 
n:11 mse_avg:11.69 mse_y:16.79 mse_u:1.66 mse_v:1.29 psnr_avg:37.45 psnr_y:35.88 psnr_u:45.94 psnr_v:47.02 
n:12 mse_avg:13.33 mse_y:19.24 mse_u:1.69 mse_v:1.32 psnr_avg:36.88 psnr_y:35.29 psnr_u:45.84 psnr_v:46.92 
n:13 mse_avg:13.11 mse_y:18.89 mse_u:1.74 mse_v:1.36 psnr_avg:36.95 psnr_y:35.37 psnr_u:45.71 psnr_v:46.78 
n:14 mse_avg:13.30 mse_y:19.16 mse_u:1.78 mse_v:1.41 psnr_avg:36.89 psnr_y:35.31 psnr_u:45.63 psnr_v:46.65 
n:15 mse_avg:13.36 mse_y:19.24 mse_u:1.79 mse_v:1.40 psnr_avg:36.87 psnr_y:35.29 psnr_u:45.60 psnr_v:46.67 
n:16 mse_avg:13.31 mse_y:19.15 mse_u:1.86 mse_v:1.40 psnr_avg:36.89 psnr_y:35.31 psnr_u:45.45 psnr_v:46.66 
n:17 mse_avg:13.40 mse_y:19.25 mse_u:1.94 mse_v:1.46 psnr_avg:36.86 psnr_y:35.29 psnr_u:45.26 psnr_v:46.49 
n:18 mse_avg:16.93 mse_y:24.53 mse_u:1.96 mse_v:1.52 psnr_avg:35.84 psnr_y:34.23 psnr_u:45.20 psnr_v:46.31 
n:19 mse_avg:15.40 mse_y:22.23 mse_u:1.99 mse_v:1.51 psnr_avg:36.26 psnr_y:34.66 psnr_u:45.15 psnr_v:46.33 
n:20 mse_avg:15.80 mse_y:22.80 mse_u:2.02 mse_v:1.55 psnr_avg:36.15 psnr_y:34.55 psnr_u:45.08 psnr_v:46.22 
n:21 mse_avg:11.60 mse_y:16.51 mse_u:2.03 mse_v:1.55 psnr_avg:37.48 psnr_y:35.95 psnr_u:45.06 psnr_v:46.23 
n:22 mse_avg:13.44 mse_y:19.24 mse_u:2.11 mse_v:1.57 psnr_avg:36.85 psnr_y:35.29 psnr_u:44.90 psnr_v:46.16 
n:23 mse_avg:13.40 mse_y:19.16 mse_u:2.15 mse_v:1.65 psnr_avg:36.86 psnr_y:35.31 psnr_u:44.81 psnr_v:45.96 
n:24 mse_avg:13.51 mse_y:19.34 mse_u:2.08 mse_v:1.63 psnr_avg:36.82 psnr_y:35.27 psnr_u:44.96 psnr_v:46.02 
n:25 mse_avg:13.39 mse_y:19.15 mse_u:2.10 mse_v:1.61 psnr_avg:36.86 psnr_y:35.31 psnr_u:44.90 psnr_v:46.07 
n:26 mse_avg:13.53 mse_y:19.35 mse_u:2.10 mse_v:1.63 psnr_avg:36.82 psnr_y:35.26 psnr_u:44.90 psnr_v:46.01 
n:27 mse_avg:13.61 mse_y:19.47 mse_u:2.13 mse_v:1.64 psnr_avg:36.79 psnr_y:35.24 psnr_u:44.86 psnr_v:45.98 
n:28 mse_avg:13.56 mse_y:19.40 mse_u:2.15 mse_v:1.65 psnr_avg:36.81 psnr_y:35.25 psnr_u:44.81 psnr_v:45.95 
n:29 mse_avg:13.65 mse_y:19.50 mse_u:2.22 mse_v:1.68 psnr_avg:36.78 psnr_y:35.23 psnr_u:44.67 psnr_v:45.89 
n:30 mse_avg:17.30 mse_y:24.96 mse_u:2.22 mse_v:1.74 psnr_avg:35.75 psnr_y:34.16 psnr_u:44.66 psnr_v:45.72 
n:31 mse_avg:15.90 mse_y:22.88 mse_u:2.19 mse_v:1.72 psnr_avg:36.12 psnr_y:34.54 psnr_u:44.74 psnr_v:45.79 
n:32 mse_avg:16.40 mse_y:23.62 mse_u:2.20 mse_v:1.73 psnr_avg:35.98 psnr_y:34.40 psnr_u:44.71 psnr_v:45.76 
n:33 mse_avg:12.28 mse_y:17.42 mse_u:2.23 mse_v:1.77 psnr_avg:37.24 psnr_y:35.72 psnr_u:44.65 psnr_v:45.66 
n:34 mse_avg:13.69 mse_y:19.52 mse_u:2.27 mse_v:1.80 psnr_avg:36.77 psnr_y:35.23 psnr_u:44.57 psnr_v:45.57 
n:35 mse_avg:13.40 mse_y:19.09 mse_u:2.26 mse_v:1.80 psnr_avg:36.86 psnr_y:35.32 psnr_u:44.58 psnr_v:45.58 
n:36 mse_avg:13.68 mse_y:19.49 mse_u:2.28 mse_v:1.83 psnr_avg:36.77 psnr_y:35.23 psnr_u:44.54 psnr_v:45.50 
n:37 mse_avg:13.90 mse_y:19.81 mse_u:2.27 mse_v:1.89 psnr_avg:36.70 psnr_y:35.16 psnr_u:44.57 psnr_v:45.36 
n:38 mse_avg:17.24 mse_y:24.80 mse_u:2.29 mse_v:1.93 psnr_avg:35.77 psnr_y:34.19 psnr_u:44.53 psnr_v:45.28 
n:39 mse_avg:15.73 mse_y:22.53 mse_u:2.31 mse_v:1.92 psnr_avg:36.16 psnr_y:34.60 psnr_u:44.49 psnr_v:45.30 
n:40 mse_avg:16.26 mse_y:23.34 mse_u:2.29 mse_v:1.93 psnr_avg:36.02 psnr_y:34.45 psnr_u:44.54 psnr_v:45.27 
n:41 mse_avg:12.42 mse_y:17.56 mse_u:2.34 mse_v:1.92 psnr_avg:37.19 psnr_y:35.69 psnr_u:44.45 psnr_v:45.30 
n:42 mse_avg:17.19 mse_y:24.72 mse_u:2.28 mse_v:1.94 psnr_avg:35.78 psnr_y:34.20 psnr_u:44.55 psnr_v:45.25 
n:43 mse_avg:15.59 mse_y:22.32 mse_u:2.27 mse_v:1.95 psnr_avg:36.20 psnr_y:34.64 psnr_u:44.57 psnr_v:45.22 
n:44 mse_avg:16.38 mse_y:23.52 mse_u:2.25 mse_v:1.91 psnr_avg:35.99 psnr_y:34.42 psnr_u:44.60 psnr_v:45.33 
n:45 mse_avg:12.23 mse_y:17.30 mse_u:2.29 mse_v:1.87 psnr_avg:37.26 psnr_y:35.75 psnr_u:44.54 psnr_v:45.40 
n:46 mse_avg:16.34 mse_y:23.48 mse_u:2.23 mse_v:1.87 psnr_avg:36.00 psnr_y:34.42 psnr_u:44.66 psnr_v:45.41 
n:47 mse_avg:15.34 mse_y:21.98 mse_u:2.21 mse_v:1.93 psnr_avg:36.27 psnr_y:34.71 psnr_u:44.69 psnr_v:45.28 
n:48 mse_avg:16.74 mse_y:24.05 mse_u:2.27 mse_v:1.93 psnr_avg:35.89 psnr_y:34.32 psnr_u:44.56 psnr_v:45.27 
n:49 mse_avg:12.07 mse_y:17.07 mse_u:2.27 mse_v:1.88 psnr_avg:37.31 psnr_y:35.81 psnr_u:44.57 psnr_v:45.38 
n:50 mse_avg:16.57 mse_y:23.81 mse_u:2.25 mse_v:1.92 psnr_avg:35.94 psnr_y:34.36 psnr_u:44.62 psnr_v:45.31 
n:51 mse_avg:15.06 mse_y:21.56 mse_u:2.22 mse_v:1.92 psnr_avg:36.35 psnr_y:34.79 psnr_u:44.67 psnr_v:45.31 
n:52 mse_avg:16.22 mse_y:23.29 mse_u:2.23 mse_v:1.92 psnr_avg:36.03 psnr_y:34.46 psnr_u:44.64 psnr_v:45.30 
n:53 mse_avg:12.27 mse_y:17.35 mse_u:2.29 mse_v:1.94 psnr_avg:37.24 psnr_y:35.74 psnr_u:44.53 psnr_v:45.25 
n:54 mse_avg:17.15 mse_y:24.68 mse_u:2.27 mse_v:1.94 psnr_avg:35.79 psnr_y:34.21 psnr_u:44.57 psnr_v:45.26 
n:55 mse_avg:15.65 mse_y:22.41 mse_u:2.29 mse_v:1.99 psnr_avg:36.18 psnr_y:34.63 psnr_u:44.53 psnr_v:45.15 
