n:1 mse_avg:1.06 mse_y:1.23 mse_u:0.60 mse_v:0.88 psnr_avg:47.86 psnr_y:47.25 psnr_u:50.34 psnr_v:48.68 
n:2 mse_avg:5.84 mse_y:8.31 mse_u:0.67 mse_v:1.13 psnr_avg:40.47 psnr_y:38.93 psnr_u:49.86 psnr_v:47.60 
n:3 mse_avg:9.65 mse_y:13.94 mse_u:0.76 mse_v:1.38 psnr_avg:38.28 psnr_y:36.69 psnr_u:49.35 psnr_v:46.73 
n:4 mse_avg:11.93 mse_y:17.34 mse_u:0.77 mse_v:1.43 psnr_avg:37.37 psnr_y:35.74 psnr_u:49.29 psnr_v:46.57 
n:5 mse_avg:13.34 mse_y:19.39 mse_u:0.85 mse_v:1.64 psnr_avg:36.88 psnr_y:35.25 psnr_u:48.84 psnr_v:45.98 
n:6 mse_avg:14.97 mse_y:21.80 mse_u:0.87 mse_v:1.72 psnr_avg:36.38 psnr_y:34.75 psnr_u:48.72 psnr_v:45.77 
n:7 mse_avg:16.05 mse_y:23.41 mse_u:0.87 mse_v:1.80 psnr_avg:36.08 psnr_y:34.44 psnr_u:48.75 psnr_v:45.57 
n:8 mse_avg:7.99 mse_y:11.33 mse_u:0.83 mse_v:1.76 psnr_avg:39.11 psnr_y:37.59 psnr_u:48.92 psnr_v:45.67 
n:9 mse_avg:11.15 mse_y:16.05 mse_u:0.85 mse_v:1.85 psnr_avg:37.66 psnr_y:36.08 psnr_u:48.82 psnr_v:45.45 
n:10 mse_avg:12.11 mse_y:17.44 mse_u:0.90 mse_v:1.98 psnr_avg:37.30 psnr_y:35.72 psnr_u:48.58 psnr_v:45.17 
n:11 mse_avg:12.88 mse_y:18.59 mse_u:0.90 mse_v:2.01 psnr_avg:37.03 psnr_y:35.44 psnr_u:48.60 psnr_v:45.10 
n:12 mse_avg:13.66 mse_y:19.73 mse_u:0.94 mse_v:2.11 psnr_avg:36.78 psnr_y:35.18 psnr_u:48.39 psnr_v:44.88 
n:13 mse_avg:14.40 mse_y:20.83 mse_u:0.94 mse_v:2.15 psnr_avg:36.55 psnr_y:34.94 psnr_u:48.39 psnr_v:44.81 
n:14 mse_avg:16.03 mse_y:23.22 mse_u:1.00 mse_v:2.28 psnr_avg:36.08 psnr_y:34.47 psnr_u:48.13 psnr_v:44.55 
n:15 mse_avg:17.09 mse_y:24.79 mse_u:1.02 mse_v:2.35 psnr_avg:35.80 psnr_y:34.19 psnr_u:48.04 psnr_v:44.42 
n:16 mse_avg:17.05 mse_y:24.72 mse_u:1.04 mse_v:2.40 psnr_avg:35.81 psnr_y:34.20 psnr_u:47.95 psnr_v:44.32 
n:17 mse_avg:18.00 mse_y:26.08 mse_u:1.08 mse_v:2.56 psnr_avg:35.58 psnr_y:33.97 psnr_u:47.80 psnr_v:44.05 
n:18 mse_avg:8.50 mse_y:11.95 mse_u:1.00 mse_v:2.21 psnr_avg:38.83 psnr_y:37.36 psnr_u:48.11 psnr_v:44.69 
n:19 mse_avg:11.33 mse_y:16.15 mse_u:1.04 mse_v:2.31 psnr_avg:37.59 psnr_y:36.05 psnr_u:47.94 psnr_v:44.49 
n:20 mse_avg:13.84 mse_y:19.91 mse_u:1.06 mse_v:2.35 psnr_avg:36.72 psnr_y:35.14 psnr_u:47.89 psnr_v:44.42 
