n:1 mse_avg:1.15 mse_y:1.39 mse_u:0.76 mse_v:0.58 psnr_avg:47.52 psnr_y:46.70 psnr_u:49.31 psnr_v:50.49 
n:2 mse_avg:19.16 mse_y:28.31 mse_u:1.01 mse_v:0.72 psnr_avg:35.31 psnr_y:33.61 psnr_u:48.07 psnr_v:49.57 
n:3 mse_avg:45.71 mse_y:68.10 mse_u:1.12 mse_v:0.76 psnr_avg:31.53 psnr_y:29.80 psnr_u:47.63 psnr_v:49.30 
n:4 mse_avg:66.72 mse_y:99.58 mse_u:1.20 mse_v:0.79 psnr_avg:29.89 psnr_y:28.15 psnr_u:47.34 psnr_v:49.17 
n:5 mse_avg:77.61 mse_y:115.88 mse_u:1.29 mse_v:0.85 psnr_avg:29.23 psnr_y:27.49 psnr_u:47.03 psnr_v:48.86 
n:6 mse_avg:82.81 mse_y:123.63 mse_u:1.37 mse_v:0.96 psnr_avg:28.95 psnr_y:27.21 psnr_u:46.76 psnr_v:48.30 
n:7 mse_avg:85.98 mse_y:128.25 mse_u:1.60 mse_v:1.30 psnr_avg:28.79 psnr_y:27.05 psnr_u:46.09 psnr_v:46.98 
n:8 mse_avg:53.60 mse_y:79.65 mse_u:1.61 mse_v:1.41 psnr_avg:30.84 psnr_y:29.12 psnr_u:46.06 psnr_v:46.63 
n:9 mse_avg:59.92 mse_y:89.06 mse_u:1.73 mse_v:1.56 psnr_avg:30.35 psnr_y:28.63 psnr_u:45.76 psnr_v:46.19 
n:10 mse_avg:66.31 mse_y:98.56 mse_u:1.83 mse_v:1.74 psnr_avg:29.92 psnr_y:28.19 psnr_u:45.50 psnr_v:45.72 
n:11 mse_avg:73.91 mse_y:109.89 mse_u:1.99 mse_v:1.91 psnr_avg:29.44 psnr_y:27.72 psnr_u:45.15 psnr_v:45.32 
n:12 mse_avg:77.93 mse_y:115.92 mse_u:2.04 mse_v:1.86 psnr_avg:29.21 psnr_y:27.49 psnr_u:45.04 psnr_v:45.43 
n:13 mse_avg:81.65 mse_y:121.45 mse_u:2.15 mse_v:1.94 psnr_avg:29.01 psnr_y:27.29 psnr_u:44.81 psnr_v:45.25 
n:14 mse_avg:84.28 mse_y:125.37 mse_u:2.16 mse_v:2.05 psnr_avg:28.87 psnr_y:27.15 psnr_u:44.78 psnr_v:45.02 
n:15 mse_avg:57.68 mse_y:85.59 mse_u:1.91 mse_v:1.82 psnr_avg:30.52 psnr_y:28.81 psnr_u:45.33 psnr_v:45.53 
n:16 mse_avg:64.20 mse_y:95.34 mse_u:1.96 mse_v:1.86 psnr_avg:30.06 psnr_y:28.34 psnr_u:45.20 psnr_v:45.44 
n:17 mse_avg:72.53 mse_y:107.80 mse_u:2.08 mse_v:1.90 psnr_avg:29.53 psnr_y:27.80 psnr_u:44.94 psnr_v:45.33 
n:18 mse_avg:79.49 mse_y:118.24 mse_u:2.13 mse_v:1.87 psnr_avg:29.13 psnr_y:27.40 psnr_u:44.85 psnr_v:45.41 
n:19 mse_avg:83.33 mse_y:123.98 mse_u:2.11 mse_v:1.94 psnr_avg:28.92 psnr_y:27.20 psnr_u:44.88 psnr_v:45.26 
n:20 mse_avg:85.36 mse_y:127.00 mse_u:2.18 mse_v:1.95 psnr_avg:28.82 psnr_y:27.09 psnr_u:44.74 psnr_v:45.22 
n:21 mse_avg:87.19 mse_y:129.74 mse_u:2.23 mse_v:1.98 psnr_avg:28.73 psnr_y:27.00 psnr_u:44.65 psnr_v:45.17 
n:22 mse_avg:54.45 mse_y:80.62 mse_u:2.25 mse_v:2.00 psnr_avg:30.77 psnr_y:29.07 psnr_u:44.62 psnr_v:45.12 
n:23 mse_avg:61.52 mse_y:91.22 mse_u:2.28 mse_v:1.95 psnr_avg:30.24 psnr_y:28.53 psnr_u:44.56 psnr_v:45.23 
n:24 mse_avg:66.23 mse_y:98.26 mse_u:2.34 mse_v:1.98 psnr_avg:29.92 psnr_y:28.21 psnr_u:44.45 psnr_v:45.17 
n:25 mse_avg:74.91 mse_y:111.26 mse_u:2.37 mse_v:2.03 psnr_avg:29.39 psnr_y:27.67 psnr_u:44.39 psnr_v:45.06 
n:26 mse_avg:80.21 mse_y:119.20 mse_u:2.43 mse_v:2.07 psnr_avg:29.09 psnr_y:27.37 psnr_u:44.28 psnr_v:44.97 
n:27 mse_avg:84.80 mse_y:126.04 mse_u:2.44 mse_v:2.21 psnr_avg:28.85 psnr_y:27.13 psnr_u:44.26 psnr_v:44.69 
n:28 mse_avg:89.86 mse_y:133.59 mse_u:2.50 mse_v:2.27 psnr_avg:28.60 psnr_y:26.87 psnr_u:44.16 psnr_v:44.57 
n:29 mse_avg:91.53 mse_y:136.04 mse_u:2.60 mse_v:2.39 psnr_avg:28.52 psnr_y:26.79 psnr_u:43.99 psnr_v:44.34 
n:30 mse_avg:61.75 mse_y:91.41 mse_u:2.52 mse_v:2.35 psnr_avg:30.22 psnr_y:28.52 psnr_u:44.12 psnr_v:44.41 
n:31 mse_avg:69.68 mse_y:103.22 mse_u:2.64 mse_v:2.55 psnr_avg:29.70 psnr_y:27.99 psnr_u:43.91 psnr_v:44.06 
n:32 mse_avg:77.24 mse_y:114.52 mse_u:2.76 mse_v:2.63 psnr_avg:29.25 psnr_y:27.54 psnr_u:43.73 psnr_v:43.92 
n:33 mse_avg:81.13 mse_y:120.30 mse_u:2.87 mse_v:2.69 psnr_avg:29.04 psnr_y:27.33 psnr_u:43.56 psnr_v:43.83 
n:34 mse_avg:84.98 mse_y:126.05 mse_u:2.96 mse_v:2.71 psnr_avg:28.84 psnr_y:27.13 psnr_u:43.42 psnr_v:43.80 
n:35 mse_avg:86.85 mse_y:128.81 mse_u:3.04 mse_v:2.79 psnr_avg:28.74 psnr_y:27.03 psnr_u:43.30 psnr_v:43.67 
n:36 mse_avg:90.61 mse_y:134.42 mse_u:3.13 mse_v:2.85 psnr_avg:28.56 psnr_y:26.85 psnr_u:43.17 psnr_v:43.58 
n:37 mse_avg:60.57 mse_y:89.38 mse_u:3.09 mse_v:2.79 psnr_avg:30.31 psnr_y:28.62 psnr_u:43.23 psnr_v:43.68 
n:38 mse_avg:68.54 mse_y:101.28 mse_u:3.21 mse_v:2.88 psnr_avg:29.77 psnr_y:28.08 psnr_u:43.06 psnr_v:43.54 
n:39 mse_avg:79.77 mse_y:118.12 mse_u:3.25 mse_v:2.89 psnr_avg:29.11 psnr_y:27.41 psnr_u:43.01 psnr_v:43.52 
n:40 mse_avg:85.29 mse_y:126.36 mse_u:3.32 mse_v:3.02 psnr_avg:28.82 psnr_y:27.11 psnr_u:42.92 psnr_v:43.33 
n:41 mse_avg:93.07 mse_y:137.95 mse_u:3.44 mse_v:3.15 psnr_avg:28.44 psnr_y:26.73 psnr_u:42.77 psnr_v:43.15 
n:42 mse_avg:86.79 mse_y:128.50 mse_u:3.56 mse_v:3.19 psnr_avg:28.75 psnr_y:27.04 psnr_u:42.62 psnr_v:43.09 
n:43 mse_avg:87.37 mse_y:129.35 mse_u:3.60 mse_v:3.21 psnr_avg:28.72 psnr_y:27.01 psnr_u:42.57 psnr_v:43.07 
n:44 mse_avg:92.05 mse_y:136.37 mse_u:3.66 mse_v:3.19 psnr_avg:28.49 psnr_y:26.78 psnr_u:42.49 psnr_v:43.09 
n:45 mse_avg:53.06 mse_y:78.02 mse_u:3.16 mse_v:3.11 psnr_avg:30.88 psnr_y:29.21 psnr_u:43.13 psnr_v:43.21 
n:46 mse_avg:60.97 mse_y:89.86 mse_u:3.24 mse_v:3.10 psnr_avg:30.28 psnr_y:28.60 psnr_u:43.02 psnr_v:43.22 
n:47 mse_avg:73.57 mse_y:108.70 mse_u:3.35 mse_v:3.26 psnr_avg:29.46 psnr_y:27.77 psnr_u:42.88 psnr_v:43.00 
n:48 mse_avg:85.08 mse_y:125.90 mse_u:3.48 mse_v:3.40 psnr_avg:28.83 psnr_y:27.13 psnr_u:42.71 psnr_v:42.82 
n:49 mse_avg:91.85 mse_y:136.05 mse_u:3.46 mse_v:3.45 psnr_avg:28.50 psnr_y:26.79 psnr_u:42.74 psnr_v:42.75 
n:50 mse_avg:96.39 mse_y:142.82 mse_u:3.52 mse_v:3.57 psnr_avg:28.29 psnr_y:26.58 psnr_u:42.67 psnr_v:42.61 
n:51 mse_avg:77.58 mse_y:114.60 mse_u:3.48 mse_v:3.57 psnr_avg:29.23 psnr_y:27.54 psnr_u:42.72 psnr_v:42.60 
n:52 mse_avg:36.93 mse_y:53.85 mse_u:3.14 mse_v:3.02 psnr_avg:32.46 psnr_y:30.82 psnr_u:43.16 psnr_v:43.32 
n:53 mse_avg:50.24 mse_y:73.76 mse_u:3.24 mse_v:3.16 psnr_avg:31.12 psnr_y:29.45 psnr_u:43.03 psnr_v:43.13 
