n:1 mse_avg:1.06 mse_y:1.23 mse_u:0.60 mse_v:0.88 psnr_avg:47.86 psnr_y:47.25 psnr_u:50.34 psnr_v:48.68 
n:2 mse_avg:6.01 mse_y:8.58 mse_u:0.67 mse_v:1.11 psnr_avg:40.34 psnr_y:38.80 psnr_u:49.88 psnr_v:47.67 
n:3 mse_avg:9.41 mse_y:13.59 mse_u:0.76 mse_v:1.35 psnr_avg:38.40 psnr_y:36.80 psnr_u:49.30 psnr_v:46.82 
n:4 mse_avg:12.18 mse_y:17.72 mse_u:0.77 mse_v:1.43 psnr_avg:37.27 psnr_y:35.65 psnr_u:49.26 psnr_v:46.57 
n:5 mse_avg:14.22 mse_y:20.73 mse_u:0.82 mse_v:1.61 psnr_avg:36.60 psnr_y:34.97 psnr_u:48.98 psnr_v:46.07 
n:6 mse_avg:15.80 mse_y:23.06 mse_u:0.85 mse_v:1.71 psnr_avg:36.14 psnr_y:34.50 psnr_u:48.85 psnr_v:45.80 
n:7 mse_avg:16.86 mse_y:24.62 mse_u:0.87 mse_v:1.80 psnr_avg:35.86 psnr_y:34.22 psnr_u:48.74 psnr_v:45.57 
n:8 mse_avg:8.81 mse_y:12.57 mse_u:0.85 mse_v:1.75 psnr_avg:38.68 psnr_y:37.14 psnr_u:48.85 psnr_v:45.71 
n:9 mse_avg:11.35 mse_y:16.36 mse_u:0.87 mse_v:1.82 psnr_avg:37.58 psnr_y:35.99 psnr_u:48.73 psnr_v:45.52 
n:10 mse_avg:13.84 mse_y:20.05 mse_u:0.89 mse_v:1.93 psnr_avg:36.72 psnr_y:35.11 psnr_u:48.64 psnr_v:45.28 
n:11 mse_avg:15.24 mse_y:22.13 mse_u:0.91 mse_v:2.01 psnr_avg:36.30 psnr_y:34.68 psnr_u:48.53 psnr_v:45.09 
n:12 mse_avg:17.20 mse_y:25.04 mse_u:0.93 mse_v:2.10 psnr_avg:35.78 psnr_y:34.14 psnr_u:48.43 psnr_v:44.90 
n:13 mse_avg:17.77 mse_y:25.87 mse_u:0.98 mse_v:2.16 psnr_avg:35.63 psnr_y:34.00 psnr_u:48.20 psnr_v:44.78 
n:14 mse_avg:18.73 mse_y:27.27 mse_u:1.01 mse_v:2.27 psnr_avg:35.41 psnr_y:33.77 psnr_u:48.07 psnr_v:44.56 
