n:1 mse_avg:1.15 mse_y:1.39 mse_u:0.76 mse_v:0.58 psnr_avg:47.52 psnr_y:46.70 psnr_u:49.31 psnr_v:50.49 
n:2 mse_avg:23.30 mse_y:34.50 mse_u:1.05 mse_v:0.74 psnr_avg:34.46 psnr_y:32.75 psnr_u:47.93 psnr_v:49.47 
n:3 mse_avg:43.96 mse_y:65.46 mse_u:1.15 mse_v:0.79 psnr_avg:31.70 psnr_y:29.97 psnr_u:47.53 psnr_v:49.17 
n:4 mse_avg:61.81 mse_y:92.20 mse_u:1.22 mse_v:0.82 psnr_avg:30.22 psnr_y:28.48 psnr_u:47.25 psnr_v:48.99 
n:5 mse_avg:75.51 mse_y:112.73 mse_u:1.29 mse_v:0.85 psnr_avg:29.35 psnr_y:27.61 psnr_u:47.02 psnr_v:48.84 
n:6 mse_avg:80.26 mse_y:119.79 mse_u:1.44 mse_v:0.97 psnr_avg:29.09 psnr_y:27.35 psnr_u:46.56 psnr_v:48.28 
n:7 mse_avg:84.18 mse_y:125.53 mse_u:1.65 mse_v:1.31 psnr_avg:28.88 psnr_y:27.14 psnr_u:45.95 psnr_v:46.97 
n:8 mse_avg:61.72 mse_y:91.88 mse_u:1.52 mse_v:1.30 psnr_avg:30.23 psnr_y:28.50 psnr_u:46.31 psnr_v:47.00 
n:9 mse_avg:67.12 mse_y:99.89 mse_u:1.59 mse_v:1.54 psnr_avg:29.86 psnr_y:28.14 psnr_u:46.12 psnr_v:46.25 
n:10 mse_avg:73.84 mse_y:109.91 mse_u:1.70 mse_v:1.69 psnr_avg:29.45 psnr_y:27.72 psnr_u:45.82 psnr_v:45.84 
n:11 mse_avg:79.92 mse_y:118.96 mse_u:1.84 mse_v:1.82 psnr_avg:29.10 psnr_y:27.38 psnr_u:45.47 psnr_v:45.53 
n:12 mse_avg:81.79 mse_y:121.76 mse_u:1.93 mse_v:1.81 psnr_avg:29.00 psnr_y:27.28 psnr_u:45.27 psnr_v:45.57 
n:13 mse_avg:84.18 mse_y:125.27 mse_u:2.07 mse_v:1.91 psnr_avg:28.88 psnr_y:27.15 psnr_u:44.98 psnr_v:45.32 
n:14 mse_avg:86.76 mse_y:129.11 mse_u:2.11 mse_v:1.97 psnr_avg:28.75 psnr_y:27.02 psnr_u:44.90 psnr_v:45.19 
n:15 mse_avg:64.69 mse_y:96.13 mse_u:1.78 mse_v:1.85 psnr_avg:30.02 psnr_y:28.30 psnr_u:45.63 psnr_v:45.45 
n:16 mse_avg:70.41 mse_y:104.72 mse_u:1.86 mse_v:1.73 psnr_avg:29.65 psnr_y:27.93 psnr_u:45.44 psnr_v:45.75 
n:17 mse_avg:78.52 mse_y:116.83 mse_u:1.99 mse_v:1.78 psnr_avg:29.18 psnr_y:27.46 psnr_u:45.13 psnr_v:45.63 
n:18 mse_avg:85.61 mse_y:127.42 mse_u:2.05 mse_v:1.88 psnr_avg:28.81 psnr_y:27.08 psnr_u:45.01 psnr_v:45.38 
n:19 mse_avg:88.34 mse_y:131.50 mse_u:2.12 mse_v:1.93 psnr_avg:28.67 psnr_y:26.94 psnr_u:44.87 psnr_v:45.27 
n:20 mse_avg:92.27 mse_y:137.35 mse_u:2.20 mse_v:2.01 psnr_avg:28.48 psnr_y:26.75 psnr_u:44.71 psnr_v:45.10 
n:21 mse_avg:97.81 mse_y:145.66 mse_u:2.18 mse_v:2.05 psnr_avg:28.23 psnr_y:26.50 psnr_u:44.74 psnr_v:45.02 
n:22 mse_avg:66.32 mse_y:98.43 mse_u:2.18 mse_v:2.04 psnr_avg:29.91 psnr_y:28.20 psnr_u:44.74 psnr_v:45.03 
n:23 mse_avg:75.92 mse_y:112.80 mse_u:2.24 mse_v:2.11 psnr_avg:29.33 psnr_y:27.61 psnr_u:44.63 psnr_v:44.89 
n:24 mse_avg:81.50 mse_y:121.14 mse_u:2.29 mse_v:2.11 psnr_avg:29.02 psnr_y:27.30 psnr_u:44.53 psnr_v:44.89 
n:25 mse_avg:86.35 mse_y:128.39 mse_u:2.35 mse_v:2.22 psnr_avg:28.77 psnr_y:27.05 psnr_u:44.42 psnr_v:44.66 
n:26 mse_avg:89.50 mse_y:133.09 mse_u:2.36 mse_v:2.27 psnr_avg:28.61 psnr_y:26.89 psnr_u:44.40 psnr_v:44.58 
n:27 mse_avg:92.41 mse_y:137.44 mse_u:2.39 mse_v:2.32 psnr_avg:28.47 psnr_y:26.75 psnr_u:44.34 psnr_v:44.48 
n:28 mse_avg:95.09 mse_y:141.42 mse_u:2.44 mse_v:2.41 psnr_avg:28.35 psnr_y:26.63 psnr_u:44.25 psnr_v:44.31 
n:29 mse_avg:67.96 mse_y:100.72 mse_u:2.49 mse_v:2.35 psnr_avg:29.81 psnr_y:28.10 psnr_u:44.16 psnr_v:44.42 
n:30 mse_avg:75.46 mse_y:111.93 mse_u:2.54 mse_v:2.48 psnr_avg:29.35 psnr_y:27.64 psnr_u:44.08 psnr_v:44.18 
n:31 mse_avg:85.21 mse_y:126.48 mse_u:2.65 mse_v:2.69 psnr_avg:28.83 psnr_y:27.11 psnr_u:43.90 psnr_v:43.84 
n:32 mse_avg:90.20 mse_y:133.90 mse_u:2.84 mse_v:2.77 psnr_avg:28.58 psnr_y:26.86 psnr_u:43.59 psnr_v:43.70 
n:33 mse_avg:97.81 mse_y:145.26 mse_u:2.90 mse_v:2.92 psnr_avg:28.23 psnr_y:26.51 psnr_u:43.51 psnr_v:43.48 
n:34 mse_avg:100.05 mse_y:148.59 mse_u:2.99 mse_v:2.92 psnr_avg:28.13 psnr_y:26.41 psnr_u:43.38 psnr_v:43.48 
n:35 mse_avg:104.88 mse_y:155.83 mse_u:3.03 mse_v:2.95 psnr_avg:27.92 psnr_y:26.20 psnr_u:43.32 psnr_v:43.43 
n:36 mse_avg:112.33 mse_y:166.97 mse_u:3.03 mse_v:3.06 psnr_avg:27.63 psnr_y:25.90 psnr_u:43.32 psnr_v:43.27 
n:37 mse_avg:75.72 mse_y:112.07 mse_u:3.01 mse_v:3.06 psnr_avg:29.34 psnr_y:27.64 psnr_u:43.34 psnr_v:43.28 
n:38 mse_avg:85.81 mse_y:127.16 mse_u:3.12 mse_v:3.11 psnr_avg:28.80 psnr_y:27.09 psnr_u:43.19 psnr_v:43.20 
n:39 mse_avg:92.86 mse_y:137.72 mse_u:3.16 mse_v:3.16 psnr_avg:28.45 psnr_y:26.74 psnr_u:43.14 psnr_v:43.13 
n:40 mse_avg:98.90 mse_y:146.75 mse_u:3.21 mse_v:3.18 psnr_avg:28.18 psnr_y:26.47 psnr_u:43.06 psnr_v:43.11 
n:41 mse_avg:103.66 mse_y:153.83 mse_u:3.36 mse_v:3.29 psnr_avg:27.97 psnr_y:26.26 psnr_u:42.87 psnr_v:42.96 
n:42 mse_avg:106.23 mse_y:157.67 mse_u:3.36 mse_v:3.35 psnr_avg:27.87 psnr_y:26.15 psnr_u:42.86 psnr_v:42.88 
n:43 mse_avg:105.64 mse_y:156.75 mse_u:3.38 mse_v:3.45 psnr_avg:27.89 psnr_y:26.18 psnr_u:42.84 psnr_v:42.76 
n:44 mse_avg:74.91 mse_y:110.67 mse_u:3.33 mse_v:3.45 psnr_avg:29.39 psnr_y:27.69 psnr_u:42.91 psnr_v:42.76 
n:45 mse_avg:80.20 mse_y:118.58 mse_u:3.38 mse_v:3.48 psnr_avg:29.09 psnr_y:27.39 psnr_u:42.84 psnr_v:42.71 
n:46 mse_avg:87.17 mse_y:129.00 mse_u:3.51 mse_v:3.47 psnr_avg:28.73 psnr_y:27.02 psnr_u:42.67 psnr_v:42.72 
n:47 mse_avg:93.87 mse_y:138.99 mse_u:3.62 mse_v:3.61 psnr_avg:28.41 psnr_y:26.70 psnr_u:42.55 psnr_v:42.56 
n:48 mse_avg:98.05 mse_y:145.22 mse_u:3.78 mse_v:3.66 psnr_avg:28.22 psnr_y:26.51 psnr_u:42.36 psnr_v:42.49 
n:49 mse_avg:100.98 mse_y:149.59 mse_u:3.83 mse_v:3.67 psnr_avg:28.09 psnr_y:26.38 psnr_u:42.30 psnr_v:42.48 
