timestamp,cpu_percent,memory_mb,memory_percent
2026-01-28 07:10:49.625,400,11.73,0.0
2026-01-28 07:10:49.718,109,24.00,0.1
2026-01-28 07:10:49.810,95.0,52.97,0.3
2026-01-28 07:10:49.904,107,72.65,0.4
2026-01-28 07:10:49.998,161,82.89,0.5
2026-01-28 07:10:50.115,243,88.10,0.5
2026-01-28 07:10:50.230,290,89.08,0.5
2026-01-28 07:10:50.339,354,89.30,0.5
2026-01-28 07:10:50.454,382,89.55,0.5
2026-01-28 07:10:50.563,413,89.66,0.5
2026-01-28 07:10:50.673,442,89.71,0.5
2026-01-28 07:10:50.787,466,89.87,0.5
2026-01-28 07:10:50.908,472,90.01,0.5
2026-01-28 07:10:51.013,499,90.09,0.5
2026-01-28 07:10:51.129,507,90.13,0.5
2026-01-28 07:10:51.243,511,90.17,0.5
2026-01-28 07:10:51.345,515,90.26,0.5
2026-01-28 07:10:51.445,524,90.22,0.5
2026-01-28 07:10:51.559,526,90.22,0.5
