n:1 mse_avg:539.92 mse_y:782.32 mse_u:48.30 mse_v:61.93 psnr_avg:20.81 psnr_y:19.20 psnr_u:31.29 psnr_v:30.21 
n:2 mse_avg:555.39 mse_y:804.53 mse_u:48.91 mse_v:65.30 psnr_avg:20.68 psnr_y:19.08 psnr_u:31.24 psnr_v:29.98 
n:3 mse_avg:570.11 mse_y:826.07 mse_u:50.12 mse_v:66.29 psnr_avg:20.57 psnr_y:18.96 psnr_u:31.13 psnr_v:29.92 
n:4 mse_avg:563.93 mse_y:816.89 mse_u:50.00 mse_v:66.00 psnr_avg:20.62 psnr_y:19.01 psnr_u:31.14 psnr_v:29.94 
n:5 mse_avg:560.49 mse_y:811.41 mse_u:50.26 mse_v:67.06 psnr_avg:20.65 psnr_y:19.04 psnr_u:31.12 psnr_v:29.87 
n:6 mse_avg:569.70 mse_y:824.64 mse_u:49.99 mse_v:69.66 psnr_avg:20.57 psnr_y:18.97 psnr_u:31.14 psnr_v:29.70 
n:7 mse_avg:588.09 mse_y:851.69 mse_u:50.52 mse_v:71.25 psnr_avg:20.44 psnr_y:18.83 psnr_u:31.10 psnr_v:29.60 
n:8 mse_avg:581.90 mse_y:841.68 mse_u:50.95 mse_v:73.75 psnr_avg:20.48 psnr_y:18.88 psnr_u:31.06 psnr_v:29.45 
n:9 mse_avg:577.87 mse_y:835.35 mse_u:51.68 mse_v:74.11 psnr_avg:20.51 psnr_y:18.91 psnr_u:31.00 psnr_v:29.43 
n:10 mse_avg:615.64 mse_y:889.78 mse_u:53.33 mse_v:81.39 psnr_avg:20.24 psnr_y:18.64 psnr_u:30.86 psnr_v:29.03 
n:11 mse_avg:656.43 mse_y:948.23 mse_u:55.56 mse_v:90.11 psnr_avg:19.96 psnr_y:18.36 psnr_u:30.68 psnr_v:28.58 
n:12 mse_avg:633.74 mse_y:913.93 mse_u:56.26 mse_v:90.49 psnr_avg:20.11 psnr_y:18.52 psnr_u:30.63 psnr_v:28.56 
n:13 mse_avg:602.36 mse_y:866.72 mse_u:56.94 mse_v:90.32 psnr_avg:20.33 psnr_y:18.75 psnr_u:30.58 psnr_v:28.57 
n:14 mse_avg:651.96 mse_y:938.08 mse_u:60.60 mse_v:98.86 psnr_avg:19.99 psnr_y:18.41 psnr_u:30.31 psnr_v:28.18 
n:15 mse_avg:691.80 mse_y:995.54 mse_u:62.65 mse_v:105.97 psnr_avg:19.73 psnr_y:18.15 psnr_u:30.16 psnr_v:27.88 
n:16 mse_avg:663.08 mse_y:952.85 mse_u:62.66 mse_v:104.45 psnr_avg:19.92 psnr_y:18.34 psnr_u:30.16 psnr_v:27.94 
n:17 mse_avg:632.91 mse_y:908.08 mse_u:61.90 mse_v:103.23 psnr_avg:20.12 psnr_y:18.55 psnr_u:30.21 psnr_v:27.99 
n:18 mse_avg:668.95 mse_y:960.05 mse_u:64.36 mse_v:109.18 psnr_avg:19.88 psnr_y:18.31 psnr_u:30.04 psnr_v:27.75 
n:19 mse_avg:691.48 mse_y:992.22 mse_u:66.68 mse_v:113.31 psnr_avg:19.73 psnr_y:18.16 psnr_u:29.89 psnr_v:27.59 
n:20 mse_avg:667.44 mse_y:956.43 mse_u:67.15 mse_v:111.75 psnr_avg:19.89 psnr_y:18.32 psnr_u:29.86 psnr_v:27.65 
n:21 mse_avg:650.72 mse_y:931.85 mse_u:66.07 mse_v:110.82 psnr_avg:20.00 psnr_y:18.44 psnr_u:29.93 psnr_v:27.68 
n:22 mse_avg:673.95 mse_y:965.75 mse_u:66.94 mse_v:113.74 psnr_avg:19.84 psnr_y:18.28 psnr_u:29.87 psnr_v:27.57 
n:23 mse_avg:701.73 mse_y:1005.98 mse_u:67.73 mse_v:118.72 psnr_avg:19.67 psnr_y:18.10 psnr_u:29.82 psnr_v:27.39 
n:24 mse_avg:663.93 mse_y:949.72 mse_u:68.10 mse_v:116.62 psnr_avg:19.91 psnr_y:18.35 psnr_u:29.80 psnr_v:27.46 
n:25 mse_avg:644.19 mse_y:919.74 mse_u:68.23 mse_v:117.98 psnr_avg:20.04 psnr_y:18.49 psnr_u:29.79 psnr_v:27.41 
n:26 mse_avg:676.01 mse_y:967.13 mse_u:69.73 mse_v:117.83 psnr_avg:19.83 psnr_y:18.28 psnr_u:29.70 psnr_v:27.42 
n:27 mse_avg:696.46 mse_y:996.41 mse_u:71.50 mse_v:121.65 psnr_avg:19.70 psnr_y:18.15 psnr_u:29.59 psnr_v:27.28 
n:28 mse_avg:662.71 mse_y:946.75 mse_u:71.60 mse_v:117.68 psnr_avg:19.92 psnr_y:18.37 psnr_u:29.58 psnr_v:27.42 
n:29 mse_avg:642.82 mse_y:917.15 mse_u:71.24 mse_v:117.09 psnr_avg:20.05 psnr_y:18.51 psnr_u:29.60 psnr_v:27.45 
n:30 mse_avg:663.97 mse_y:949.51 mse_u:71.26 mse_v:114.53 psnr_avg:19.91 psnr_y:18.36 psnr_u:29.60 psnr_v:27.54 
n:31 mse_avg:679.24 mse_y:972.47 mse_u:71.81 mse_v:113.76 psnr_avg:19.81 psnr_y:18.25 psnr_u:29.57 psnr_v:27.57 
n:32 mse_avg:667.36 mse_y:954.60 mse_u:72.59 mse_v:113.15 psnr_avg:19.89 psnr_y:18.33 psnr_u:29.52 psnr_v:27.59 
n:33 mse_avg:654.35 mse_y:934.70 mse_u:73.63 mse_v:113.66 psnr_avg:19.97 psnr_y:18.42 psnr_u:29.46 psnr_v:27.57 
n:34 mse_avg:666.07 mse_y:952.48 mse_u:73.63 mse_v:112.88 psnr_avg:19.90 psnr_y:18.34 psnr_u:29.46 psnr_v:27.60 
n:35 mse_avg:680.14 mse_y:972.31 mse_u:75.50 mse_v:116.13 psnr_avg:19.80 psnr_y:18.25 psnr_u:29.35 psnr_v:27.48 
n:36 mse_avg:658.44 mse_y:939.70 mse_u:76.29 mse_v:115.52 psnr_avg:19.95 psnr_y:18.40 psnr_u:29.31 psnr_v:27.50 
n:37 mse_avg:648.23 mse_y:923.31 mse_u:76.76 mse_v:119.37 psnr_avg:20.01 psnr_y:18.48 psnr_u:29.28 psnr_v:27.36 
n:38 mse_avg:663.88 mse_y:948.31 mse_u:75.42 mse_v:114.67 psnr_avg:19.91 psnr_y:18.36 psnr_u:29.36 psnr_v:27.54 
n:39 mse_avg:710.95 mse_y:1018.01 mse_u:76.65 mse_v:117.03 psnr_avg:19.61 psnr_y:18.05 psnr_u:29.29 psnr_v:27.45 
n:40 mse_avg:662.69 mse_y:946.20 mse_u:75.10 mse_v:116.25 psnr_avg:19.92 psnr_y:18.37 psnr_u:29.37 psnr_v:27.48 
n:41 mse_avg:648.38 mse_y:924.31 mse_u:74.24 mse_v:118.78 psnr_avg:20.01 psnr_y:18.47 psnr_u:29.42 psnr_v:27.38 
n:42 mse_avg:668.29 mse_y:954.73 mse_u:74.11 mse_v:116.75 psnr_avg:19.88 psnr_y:18.33 psnr_u:29.43 psnr_v:27.46 
n:43 mse_avg:679.39 mse_y:970.83 mse_u:74.95 mse_v:118.09 psnr_avg:19.81 psnr_y:18.26 psnr_u:29.38 psnr_v:27.41 
n:44 mse_avg:655.64 mse_y:935.50 mse_u:74.20 mse_v:117.67 psnr_avg:19.96 psnr_y:18.42 psnr_u:29.43 psnr_v:27.42 
n:45 mse_avg:637.82 mse_y:908.83 mse_u:72.74 mse_v:118.86 psnr_avg:20.08 psnr_y:18.55 psnr_u:29.51 psnr_v:27.38 
n:46 mse_avg:650.90 mse_y:928.76 mse_u:72.52 mse_v:117.86 psnr_avg:20.00 psnr_y:18.45 psnr_u:29.53 psnr_v:27.42 
n:47 mse_avg:661.13 mse_y:943.14 mse_u:73.33 mse_v:120.90 psnr_avg:19.93 psnr_y:18.39 psnr_u:29.48 psnr_v:27.31 
n:48 mse_avg:648.31 mse_y:924.43 mse_u:72.62 mse_v:119.50 psnr_avg:20.01 psnr_y:18.47 psnr_u:29.52 psnr_v:27.36 
n:49 mse_avg:643.60 mse_y:916.61 mse_u:73.26 mse_v:121.92 psnr_avg:20.04 psnr_y:18.51 psnr_u:29.48 psnr_v:27.27 
n:50 mse_avg:650.63 mse_y:927.68 mse_u:72.89 mse_v:120.15 psnr_avg:20.00 psnr_y:18.46 psnr_u:29.50 psnr_v:27.33 
n:51 mse_avg:660.65 mse_y:942.61 mse_u:72.62 mse_v:120.85 psnr_avg:19.93 psnr_y:18.39 psnr_u:29.52 psnr_v:27.31 
n:52 mse_avg:647.39 mse_y:923.78 mse_u:71.26 mse_v:117.95 psnr_avg:20.02 psnr_y:18.48 psnr_u:29.60 psnr_v:27.41 
n:53 mse_avg:641.54 mse_y:914.90 mse_u:72.08 mse_v:117.55 psnr_avg:20.06 psnr_y:18.52 psnr_u:29.55 psnr_v:27.43 
n:54 mse_avg:650.74 mse_y:928.90 mse_u:72.62 mse_v:116.21 psnr_avg:20.00 psnr_y:18.45 psnr_u:29.52 psnr_v:27.48 
n:55 mse_avg:659.21 mse_y:940.70 mse_u:74.83 mse_v:117.63 psnr_avg:19.94 psnr_y:18.40 psnr_u:29.39 psnr_v:27.43 
n:56 mse_avg:647.51 mse_y:924.20 mse_u:74.55 mse_v:113.68 psnr_avg:20.02 psnr_y:18.47 psnr_u:29.41 psnr_v:27.57 
n:57 mse_avg:636.95 mse_y:909.13 mse_u:73.89 mse_v:111.28 psnr_avg:20.09 psnr_y:18.54 psnr_u:29.44 psnr_v:27.67 
n:58 mse_avg:643.64 mse_y:920.11 mse_u:70.59 mse_v:110.83 psnr_avg:20.04 psnr_y:18.49 psnr_u:29.64 psnr_v:27.68 
n:59 mse_avg:661.74 mse_y:946.78 mse_u:70.06 mse_v:113.26 psnr_avg:19.92 psnr_y:18.37 psnr_u:29.68 psnr_v:27.59 
n:60 mse_avg:638.18 mse_y:912.41 mse_u:69.64 mse_v:109.83 psnr_avg:20.08 psnr_y:18.53 psnr_u:29.70 psnr_v:27.72 
n:61 mse_avg:627.25 mse_y:895.55 mse_u:70.57 mse_v:110.73 psnr_avg:20.16 psnr_y:18.61 psnr_u:29.64 psnr_v:27.69 
n:62 mse_avg:642.44 mse_y:917.45 mse_u:70.64 mse_v:114.16 psnr_avg:20.05 psnr_y:18.50 psnr_u:29.64 psnr_v:27.56 
n:63 mse_avg:640.81 mse_y:915.75 mse_u:70.55 mse_v:111.33 psnr_avg:20.06 psnr_y:18.51 psnr_u:29.65 psnr_v:27.66 
n:64 mse_avg:638.25 mse_y:911.92 mse_u:72.40 mse_v:109.43 psnr_avg:20.08 psnr_y:18.53 psnr_u:29.53 psnr_v:27.74 
n:65 mse_avg:632.34 mse_y:902.30 mse_u:75.61 mse_v:109.24 psnr_avg:20.12 psnr_y:18.58 psnr_u:29.34 psnr_v:27.75 
n:66 mse_avg:650.06 mse_y:929.23 mse_u:76.01 mse_v:107.40 psnr_avg:20.00 psnr_y:18.45 psnr_u:29.32 psnr_v:27.82 
n:67 mse_avg:661.98 mse_y:946.27 mse_u:77.49 mse_v:109.27 psnr_avg:19.92 psnr_y:18.37 psnr_u:29.24 psnr_v:27.75 
n:68 mse_avg:650.09 mse_y:929.51 mse_u:76.12 mse_v:106.37 psnr_avg:20.00 psnr_y:18.45 psnr_u:29.32 psnr_v:27.86 
n:69 mse_avg:630.19 mse_y:900.97 mse_u:73.29 mse_v:103.96 psnr_avg:20.14 psnr_y:18.58 psnr_u:29.48 psnr_v:27.96 
