n:1 mse_avg:7.63 mse_y:8.89 mse_u:5.12 mse_v:5.08 psnr_avg:39.31 psnr_y:38.64 psnr_u:41.04 psnr_v:41.07 
n:2 mse_avg:19.80 mse_y:25.51 mse_u:8.22 mse_v:8.58 psnr_avg:35.16 psnr_y:34.06 psnr_u:38.98 psnr_v:38.80 
n:3 mse_avg:17.71 mse_y:22.24 mse_u:8.38 mse_v:8.93 psnr_avg:35.65 psnr_y:34.66 psnr_u:38.90 psnr_v:38.62 
n:4 mse_avg:21.46 mse_y:27.18 mse_u:9.90 mse_v:10.13 psnr_avg:34.81 psnr_y:33.79 psnr_u:38.17 psnr_v:38.07 
n:5 mse_avg:16.35 mse_y:20.51 mse_u:7.83 mse_v:8.23 psnr_avg:36.00 psnr_y:35.01 psnr_u:39.20 psnr_v:38.98 
n:6 mse_avg:21.85 mse_y:27.20 mse_u:10.97 mse_v:11.33 psnr_avg:34.74 psnr_y:33.78 psnr_u:37.73 psnr_v:37.59 
n:7 mse_avg:19.80 mse_y:24.59 mse_u:10.15 mse_v:10.29 psnr_avg:35.16 psnr_y:34.22 psnr_u:38.06 psnr_v:38.01 
n:8 mse_avg:22.77 mse_y:28.48 mse_u:11.22 mse_v:11.47 psnr_avg:34.56 psnr_y:33.59 psnr_u:37.63 psnr_v:37.53 
n:9 mse_avg:16.68 mse_y:20.51 mse_u:8.92 mse_v:9.11 psnr_avg:35.91 psnr_y:35.01 psnr_u:38.63 psnr_v:38.53 
n:10 mse_avg:22.55 mse_y:27.69 mse_u:12.05 mse_v:12.48 psnr_avg:34.60 psnr_y:33.71 psnr_u:37.32 psnr_v:37.17 
n:11 mse_avg:19.84 mse_y:23.91 mse_u:11.57 mse_v:11.86 psnr_avg:35.15 psnr_y:34.35 psnr_u:37.50 psnr_v:37.39 
n:12 mse_avg:23.04 mse_y:28.17 mse_u:12.61 mse_v:12.95 psnr_avg:34.51 psnr_y:33.63 psnr_u:37.12 psnr_v:37.01 
n:13 mse_avg:17.46 mse_y:21.06 mse_u:10.27 mse_v:10.26 psnr_avg:35.71 psnr_y:34.90 psnr_u:38.02 psnr_v:38.02 
n:14 mse_avg:23.38 mse_y:28.49 mse_u:12.78 mse_v:13.52 psnr_avg:34.44 psnr_y:33.58 psnr_u:37.07 psnr_v:36.82 
n:15 mse_avg:20.67 mse_y:24.88 mse_u:11.97 mse_v:12.56 psnr_avg:34.98 psnr_y:34.17 psnr_u:37.35 psnr_v:37.14 
n:16 mse_avg:23.53 mse_y:28.61 mse_u:13.00 mse_v:13.76 psnr_avg:34.41 psnr_y:33.57 psnr_u:36.99 psnr_v:36.74 
n:17 mse_avg:17.62 mse_y:20.94 mse_u:10.85 mse_v:11.08 psnr_avg:35.67 psnr_y:34.92 psnr_u:37.78 psnr_v:37.69 
n:18 mse_avg:23.69 mse_y:28.66 mse_u:13.28 mse_v:14.21 psnr_avg:34.39 psnr_y:33.56 psnr_u:36.90 psnr_v:36.60 
n:19 mse_avg:21.35 mse_y:25.70 mse_u:12.35 mse_v:12.95 psnr_avg:34.84 psnr_y:34.03 psnr_u:37.22 psnr_v:37.01 
n:20 mse_avg:23.17 mse_y:27.79 mse_u:13.62 mse_v:14.24 psnr_avg:34.48 psnr_y:33.69 psnr_u:36.79 psnr_v:36.60 
n:21 mse_avg:18.08 mse_y:21.33 mse_u:11.40 mse_v:11.77 psnr_avg:35.56 psnr_y:34.84 psnr_u:37.56 psnr_v:37.42 
n:22 mse_avg:23.15 mse_y:27.79 mse_u:13.49 mse_v:14.26 psnr_avg:34.48 psnr_y:33.69 psnr_u:36.83 psnr_v:36.59 
n:23 mse_avg:21.16 mse_y:25.40 mse_u:12.42 mse_v:12.97 psnr_avg:34.88 psnr_y:34.08 psnr_u:37.19 psnr_v:37.00 
n:24 mse_avg:23.34 mse_y:28.07 mse_u:13.64 mse_v:14.09 psnr_avg:34.45 psnr_y:33.65 psnr_u:36.78 psnr_v:36.64 
n:25 mse_avg:18.11 mse_y:21.37 mse_u:11.49 mse_v:11.72 psnr_avg:35.55 psnr_y:34.83 psnr_u:37.53 psnr_v:37.44 
n:26 mse_avg:23.39 mse_y:27.95 mse_u:13.82 mse_v:14.75 psnr_avg:34.44 psnr_y:33.67 psnr_u:36.73 psnr_v:36.44 
n:27 mse_avg:20.55 mse_y:24.51 mse_u:12.43 mse_v:12.83 psnr_avg:35.00 psnr_y:34.24 psnr_u:37.19 psnr_v:37.05 
n:28 mse_avg:23.22 mse_y:27.70 mse_u:13.78 mse_v:14.74 psnr_avg:34.47 psnr_y:33.71 psnr_u:36.74 psnr_v:36.45 
n:29 mse_avg:17.95 mse_y:21.09 mse_u:11.57 mse_v:11.78 psnr_avg:35.59 psnr_y:34.89 psnr_u:37.50 psnr_v:37.42 
n:30 mse_avg:23.42 mse_y:28.06 mse_u:13.55 mse_v:14.72 psnr_avg:34.43 psnr_y:33.65 psnr_u:36.81 psnr_v:36.45 
n:31 mse_avg:21.00 mse_y:24.96 mse_u:12.49 mse_v:13.70 psnr_avg:34.91 psnr_y:34.16 psnr_u:37.17 psnr_v:36.76 
n:32 mse_avg:22.95 mse_y:27.21 mse_u:13.77 mse_v:15.09 psnr_avg:34.52 psnr_y:33.78 psnr_u:36.74 psnr_v:36.34 
n:33 mse_avg:17.95 mse_y:21.05 mse_u:11.39 mse_v:12.11 psnr_avg:35.59 psnr_y:34.90 psnr_u:37.57 psnr_v:37.30 
n:34 mse_avg:22.64 mse_y:26.84 mse_u:13.64 mse_v:14.83 psnr_avg:34.58 psnr_y:33.84 psnr_u:36.78 psnr_v:36.42 
n:35 mse_avg:21.01 mse_y:25.04 mse_u:12.67 mse_v:13.26 psnr_avg:34.91 psnr_y:34.14 psnr_u:37.10 psnr_v:36.91 
n:36 mse_avg:23.03 mse_y:27.35 mse_u:13.73 mse_v:15.06 psnr_avg:34.51 psnr_y:33.76 psnr_u:36.75 psnr_v:36.35 
n:37 mse_avg:17.87 mse_y:21.01 mse_u:11.18 mse_v:12.00 psnr_avg:35.61 psnr_y:34.91 psnr_u:37.65 psnr_v:37.34 
n:38 mse_avg:22.99 mse_y:27.34 mse_u:13.57 mse_v:15.03 psnr_avg:34.51 psnr_y:33.76 psnr_u:36.80 psnr_v:36.36 
n:39 mse_avg:20.76 mse_y:24.73 mse_u:12.46 mse_v:13.22 psnr_avg:34.96 psnr_y:34.20 psnr_u:37.18 psnr_v:36.92 
n:40 mse_avg:23.58 mse_y:28.23 mse_u:13.69 mse_v:14.92 psnr_avg:34.40 psnr_y:33.62 psnr_u:36.77 psnr_v:36.39 
n:41 mse_avg:17.99 mse_y:21.10 mse_u:11.24 mse_v:12.30 psnr_avg:35.58 psnr_y:34.89 psnr_u:37.62 psnr_v:37.23 
n:42 mse_avg:23.25 mse_y:27.68 mse_u:13.67 mse_v:15.08 psnr_avg:34.47 psnr_y:33.71 psnr_u:36.77 psnr_v:36.35 
n:43 mse_avg:20.96 mse_y:24.96 mse_u:12.60 mse_v:13.33 psnr_avg:34.92 psnr_y:34.16 psnr_u:37.13 psnr_v:36.88 
n:44 mse_avg:23.19 mse_y:27.55 mse_u:13.65 mse_v:15.30 psnr_avg:34.48 psnr_y:33.73 psnr_u:36.78 psnr_v:36.28 
n:45 mse_avg:17.83 mse_y:20.90 mse_u:11.41 mse_v:12.02 psnr_avg:35.62 psnr_y:34.93 psnr_u:37.56 psnr_v:37.33 
n:46 mse_avg:22.76 mse_y:27.14 mse_u:13.30 mse_v:14.67 psnr_avg:34.56 psnr_y:33.79 psnr_u:36.89 psnr_v:36.47 
n:47 mse_avg:20.84 mse_y:24.82 mse_u:12.50 mse_v:13.29 psnr_avg:34.94 psnr_y:34.18 psnr_u:37.16 psnr_v:36.90 
n:48 mse_avg:22.76 mse_y:26.95 mse_u:13.63 mse_v:15.13 psnr_avg:34.56 psnr_y:33.83 psnr_u:36.79 psnr_v:36.33 
n:49 mse_avg:18.09 mse_y:21.26 mse_u:11.44 mse_v:12.04 psnr_avg:35.56 psnr_y:34.86 psnr_u:37.55 psnr_v:37.32 
n:50 mse_avg:22.69 mse_y:26.68 mse_u:13.96 mse_v:15.45 psnr_avg:34.57 psnr_y:33.87 psnr_u:36.68 psnr_v:36.24 
n:51 mse_avg:21.17 mse_y:24.90 mse_u:13.19 mse_v:14.26 psnr_avg:34.87 psnr_y:34.17 psnr_u:36.93 psnr_v:36.59 
n:52 mse_avg:23.11 mse_y:27.20 mse_u:14.30 mse_v:15.58 psnr_avg:34.49 psnr_y:33.78 psnr_u:36.58 psnr_v:36.21 
n:53 mse_avg:18.48 mse_y:21.57 mse_u:11.96 mse_v:12.64 psnr_avg:35.46 psnr_y:34.79 psnr_u:37.35 psnr_v:37.11 
n:54 mse_avg:23.26 mse_y:27.46 mse_u:13.97 mse_v:15.79 psnr_avg:34.46 psnr_y:33.74 psnr_u:36.68 psnr_v:36.15 
n:55 mse_avg:21.39 mse_y:25.28 mse_u:13.09 mse_v:14.12 psnr_avg:34.83 psnr_y:34.10 psnr_u:36.96 psnr_v:36.63 
n:56 mse_avg:23.50 mse_y:27.65 mse_u:14.18 mse_v:16.21 psnr_avg:34.42 psnr_y:33.71 psnr_u:36.61 psnr_v:36.03 
